PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 960, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.71, 'stoploss': 11.25} Rank = 59 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.63, 'stoploss': 11.3} Rank = 60 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.66, 'stoploss': 11.28} Rank = 61 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.58, 'stoploss': 11.28} Rank = 62 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.55, 'stoploss': 11.26} Rank = 63 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.71, 'stoploss': 11.29} Rank = 64 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.57, 'stoploss': 11.29} Rank = 65 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.66, 'stoploss': 11.31} Rank = 66 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 960, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.7, 'stoploss': 11.25} Rank = 67 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.68, 'stoploss': 11.3} Rank = 68 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.57, 'stoploss': 11.28} Rank = 69 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.7, 'stoploss': 11.29} Rank = 70 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.56, 'stoploss': 11.29} Rank = 71 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.61, 'stoploss': 11.3} Rank = 72 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.64, 'stoploss': 11.28} Rank = 73 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.56, 'stoploss': 11.28} Rank = 74 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.53, 'stoploss': 11.26} Rank = 75 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 103, 'takeprofit': 39.58, 'stoploss': 11.31} Rank = 76 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.55, 'stoploss': 11.29} Rank = 77 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.64, 'stoploss': 11.31} Rank = 78 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.61, 'stoploss': 11.29} Rank = 79 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 960, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.68, 'stoploss': 11.25} Rank = 80 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.47, 'stoploss': 11.25} Rank = 81 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.66, 'stoploss': 11.3} Rank = 82 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.63, 'stoploss': 11.28} Rank = 83 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.55, 'stoploss': 11.28} Rank = 84 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.71, 'stoploss': 11.31} Rank = 85 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.68, 'stoploss': 11.29} Rank = 86 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.63, 'stoploss': 11.31} Rank = 87 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.7, 'stoploss': 11.31} Rank = 88 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 103, 'takeprofit': 39.56, 'stoploss': 11.31} Rank = 89 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.53, 'stoploss': 11.29} Rank = 90 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 960, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.66, 'stoploss': 11.25} Rank = 91 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.58, 'stoploss': 11.3} Rank = 92 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.64, 'stoploss': 11.3} Rank = 93 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 960, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.71, 'stoploss': 11.26} Rank = 94 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.61, 'stoploss': 11.28} Rank = 95 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 960, 'fast_ma_period': 55, 'atr_period': 100, 'takeprofit': 39.71, 'stoploss': 11.25} Rank = 96 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.66, 'stoploss': 11.29} Rank = 97 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 103, 'takeprofit': 39.55, 'stoploss': 11.31} Rank = 98 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.61, 'stoploss': 11.31} Rank = 99 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.58, 'stoploss': 11.29} Rank = 100 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.71, 'stoploss': 11.3} Rank = 101 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.57, 'stoploss': 11.3} Rank = 102 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.44, 'stoploss': 11.25} Rank = 103 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.63, 'stoploss': 11.3} Rank = 104 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 960, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.7, 'stoploss': 11.26} Rank = 105 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.68, 'stoploss': 11.31} Rank = 106 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.57, 'stoploss': 11.29} Rank = 107 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.7, 'stoploss': 11.3} Rank = 108 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.56, 'stoploss': 11.3} Rank = 109 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 960, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.71, 'stoploss': 11.29} Rank = 110 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.64, 'stoploss': 11.29} Rank = 111 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.56, 'stoploss': 11.29} Rank = 112 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.55, 'stoploss': 11.3} Rank = 113 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.42, 'stoploss': 11.25} Rank = 114 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 960, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.71, 'stoploss': 11.28} Rank = 115 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.61, 'stoploss': 11.3} Rank = 116 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 960, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.68, 'stoploss': 11.26} Rank = 117 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.58, 'stoploss': 11.28} Rank = 118 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 960, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.7, 'stoploss': 11.29} Rank = 119 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.66, 'stoploss': 11.31} Rank = 120 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.47, 'stoploss': 11.26} Rank = 121 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.63, 'stoploss': 11.29} Rank = 122 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.58, 'stoploss': 11.31} Rank = 123 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.55, 'stoploss': 11.29} Rank = 124 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.71, 'stoploss': 11.32} Rank = 125 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.68, 'stoploss': 11.3} Rank = 126 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 960, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.7, 'stoploss': 11.28} Rank = 127 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.57, 'stoploss': 11.28} Rank = 128 Crowding Distance = inf
PNL = 53.43 Max. Drawdown = 46.57 Parameters = {'slow_ma_period': 959, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.7, 'stoploss': 11.26} Rank = 129 Crowding Distance = inf
