PNL = 10545.26 Max. Drawdown = 570.29 Parameters = {'slow_ma_period': 1119, 'fast_ma_period': 18, 'atr_period': 184, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.013532926287144278
PNL = 7938.81 Max. Drawdown = 318.0 Parameters = {'slow_ma_period': 1625, 'fast_ma_period': 11, 'atr_period': 286, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.013380970199058562
PNL = 7954.31 Max. Drawdown = 319.47 Parameters = {'slow_ma_period': 1575, 'fast_ma_period': 65, 'atr_period': 291, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.013309870946383019
PNL = 4873.8 Max. Drawdown = 175.84 Parameters = {'slow_ma_period': 1102, 'fast_ma_period': 290, 'atr_period': 150, 'takeprofit': 3.44, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.013134181554884137
PNL = 7305.16 Max. Drawdown = 272.26 Parameters = {'slow_ma_period': 1111, 'fast_ma_period': 2, 'atr_period': 184, 'takeprofit': 3.63, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.013071645470626697
PNL = 7337.77 Max. Drawdown = 273.48 Parameters = {'slow_ma_period': 1111, 'fast_ma_period': 4, 'atr_period': 184, 'takeprofit': 3.63, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.012734020158366596
PNL = 4825.3 Max. Drawdown = 174.45 Parameters = {'slow_ma_period': 1476, 'fast_ma_period': 8, 'atr_period': 160, 'takeprofit': 3.44, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.012707747521452777
PNL = 9876.13 Max. Drawdown = 411.11 Parameters = {'slow_ma_period': 1955, 'fast_ma_period': 85, 'atr_period': 2000, 'takeprofit': 4.37, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.012648408530231615
PNL = 3492.67 Max. Drawdown = 154.76 Parameters = {'slow_ma_period': 926, 'fast_ma_period': 17, 'atr_period': 1824, 'takeprofit': 2.0, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.012640793087708763
PNL = 9982.17 Max. Drawdown = 415.55 Parameters = {'slow_ma_period': 1979, 'fast_ma_period': 73, 'atr_period': 2000, 'takeprofit': 4.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.012010292217244738
PNL = 9873.18 Max. Drawdown = 407.68 Parameters = {'slow_ma_period': 450, 'fast_ma_period': 25, 'atr_period': 2000, 'takeprofit': 4.65, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.011904861644054009
PNL = 7267.67 Max. Drawdown = 271.05 Parameters = {'slow_ma_period': 1049, 'fast_ma_period': 1, 'atr_period': 185, 'takeprofit': 3.63, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.01164852033964997
PNL = 3980.47 Max. Drawdown = 170.14 Parameters = {'slow_ma_period': 1107, 'fast_ma_period': 32, 'atr_period': 1901, 'takeprofit': 2.11, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.011349425690118858
PNL = 10882.64 Max. Drawdown = 588.54 Parameters = {'slow_ma_period': 931, 'fast_ma_period': 1, 'atr_period': 184, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.011130943477492203
PNL = 8043.56 Max. Drawdown = 322.88 Parameters = {'slow_ma_period': 1625, 'fast_ma_period': 8, 'atr_period': 290, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.011017597277221063
PNL = 9345.71 Max. Drawdown = 385.37 Parameters = {'slow_ma_period': 400, 'fast_ma_period': 64, 'atr_period': 2000, 'takeprofit': 4.7, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.011002327173688306
PNL = 10947.11 Max. Drawdown = 592.02 Parameters = {'slow_ma_period': 933, 'fast_ma_period': 5, 'atr_period': 184, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.01096984780328484
