PNL,Max_Drawdown,slow_ma_period,fast_ma_period,atr_period,takeprofit,stoploss
26906955.26,0.0, 612, 5, 690, 41.4, 9.74
26895579.63,0.0, 612, 5, 690, 41.34, 9.72
26894412.08,0.0, 612, 5, 690, 41.37, 9.73
26890034.6,0.0, 612, 5, 690, 41.42, 9.75
26886448.14,0.0, 609, 6, 692, 41.46, 9.77
26886448.14,0.0, 610, 5, 692, 41.46, 9.77
26883789.41,0.0, 610, 5, 692, 41.3, 9.71
26883789.41,0.0, 609, 6, 692, 41.3, 9.71
26878632.12,0.0, 610, 5, 692, 41.38, 9.74
26877577.8,0.0, 612, 5, 690, 41.39, 9.74
26876349.87,0.0, 606, 3, 698, 41.3, 9.71
26870933.56,0.0, 609, 6, 692, 41.27, 9.7
26870933.56,0.0, 610, 5, 692, 41.27, 9.7
26867912.45,0.0, 606, 3, 698, 41.4, 9.75
26861753.15,0.0, 610, 5, 692, 41.4, 9.75
26861753.15,0.0, 609, 6, 692, 41.4, 9.75
26856925.69,0.0, 604, 7, 696, 41.02, 9.76
26855455.32,0.0, 606, 3, 698, 41.37, 9.74
26853434.31,0.0, 612, 5, 690, 41.3, 9.71
26853409.42,0.0, 610, 5, 692, 41.32, 9.72
26850933.73,0.0, 606, 3, 698, 41.42, 9.76
26849272.4,0.0, 609, 6, 692, 41.37, 9.74
26849272.4,0.0, 610, 5, 692, 41.37, 9.74
26848227.08,0.0, 612, 5, 690, 41.38, 9.74
26844817.02,0.0, 610, 5, 692, 41.42, 9.76
26844817.02,0.0, 609, 6, 692, 41.42, 9.76
26842909.45,0.0, 606, 3, 698, 41.34, 9.73
26840597.86,0.0, 612, 5, 690, 41.27, 9.7
26838562.96,0.0, 606, 3, 698, 41.39, 9.75
26836703.01,0.0, 609, 6, 692, 41.34, 9.73
26836703.01,0.0, 610, 5, 692, 41.34, 9.73
26832422.56,0.0, 609, 6, 692, 41.39, 9.75
26832422.56,0.0, 610, 5, 692, 41.39, 9.75
26831364.73,0.0, 612, 5, 690, 41.4, 9.75
26824061.77,0.0, 612, 5, 690, 41.29, 9.71
26820132.56,0.0, 612, 5, 690, 41.34, 9.73
26818903.06,0.0, 612, 5, 690, 41.37, 9.74
26814445.28,0.0, 612, 5, 690, 41.42, 9.76
26812139.8,0.0, 609, 6, 692, 41.25, 9.7
26812139.8,0.0, 610, 5, 692, 41.25, 9.7
26808418.89,0.0, 610, 5, 692, 41.3, 9.72
26808418.89,0.0, 609, 6, 692, 41.3, 9.72
26802069.81,0.0, 612, 5, 690, 41.39, 9.75
26800918.43,0.0, 606, 3, 698, 41.3, 9.72
26795645.07,0.0, 609, 6, 692, 41.27, 9.71
26795645.07,0.0, 610, 5, 692, 41.27, 9.71
26792319.91,0.0, 606, 3, 698, 41.4, 9.76
26788193.34,0.0, 606, 3, 698, 41.27, 9.71
26786240.83,0.0, 610, 5, 692, 41.4, 9.76
26786240.83,0.0, 609, 6, 692, 41.4, 9.76
26781875.48,0.0, 612, 5, 690, 41.25, 9.7
26781296.48,0.0, 604, 7, 696, 41.02, 9.77
26779944.12,0.0, 606, 3, 698, 41.37, 9.75
26778151.51,0.0, 612, 5, 690, 41.3, 9.72
26775342.61,0.0, 606, 3, 698, 41.42, 9.77
26773841.41,0.0, 609, 6, 692, 41.37, 9.75
26773841.41,0.0, 610, 5, 692, 41.37, 9.75
26769306.0,0.0, 610, 5, 692, 41.42, 9.77
26769306.0,0.0, 609, 6, 692, 41.42, 9.77
26767479.71,0.0, 606, 3, 698, 41.34, 9.74
26765396.99,0.0, 612, 5, 690, 41.27, 9.71
26763053.0,0.0, 606, 3, 698, 41.39, 9.76
26761529.85,0.0, 612, 5, 690, 41.32, 9.73
26761353.49,0.0, 609, 6, 692, 41.34, 9.74
26761353.49,0.0, 610, 5, 692, 41.34, 9.74
26756992.69,0.0, 610, 5, 692, 41.39, 9.76
26756992.69,0.0, 609, 6, 692, 41.39, 9.76
26755940.34,0.0, 612, 5, 690, 41.4, 9.76
26744851.09,0.0, 612, 5, 690, 41.34, 9.74
26743559.9,0.0, 612, 5, 690, 41.37, 9.75
26739022.18,0.0, 612, 5, 690, 41.42, 9.77
26737016.04,0.0, 610, 5, 692, 41.25, 9.71
26737016.04,0.0, 609, 6, 692, 41.25, 9.71
26733213.73,0.0, 610, 5, 692, 41.3, 9.73
26733213.73,0.0, 609, 6, 692, 41.3, 9.73
26729556.27,0.0, 606, 3, 698, 41.25, 9.71
26727771.16,0.0, 610, 5, 692, 41.38, 9.76
26726727.76,0.0, 612, 5, 690, 41.39, 9.76
26725652.74,0.0, 606, 3, 698, 41.3, 9.73
26720521.67,0.0, 609, 6, 692, 41.27, 9.72
26720521.67,0.0, 610, 5, 692, 41.27, 9.72
26716893.81,0.0, 606, 3, 698, 41.4, 9.77
26713009.33,0.0, 606, 3, 698, 41.27, 9.72
26710894.58,0.0, 610, 5, 692, 41.4, 9.77
26710894.58,0.0, 609, 6, 692, 41.4, 9.77
26706839.13,0.0, 612, 5, 690, 41.25, 9.71
26704599.08,0.0, 606, 3, 698, 41.37, 9.76
26703033.85,0.0, 612, 5, 690, 41.3, 9.73
26698576.23,0.0, 609, 6, 692, 41.37, 9.76
26698576.23,0.0, 610, 5, 692, 41.37, 9.76
26692215.87,0.0, 606, 3, 698, 41.34, 9.75
26690360.99,0.0, 612, 5, 690, 41.27, 9.72
26687709.29,0.0, 606, 3, 698, 41.39, 9.77
26686169.5,0.0, 609, 6, 692, 41.34, 9.75
26686169.5,0.0, 610, 5, 692, 41.34, 9.75
26681728.71,0.0, 609, 6, 692, 41.39, 9.77
26681728.71,0.0, 610, 5, 692, 41.39, 9.77
26680681.79,0.0, 612, 5, 690, 41.4, 9.77
26669734.92,0.0, 612, 5, 690, 41.34, 9.75
26668382.33,0.0, 612, 5, 690, 41.37, 9.76
26662057.01,0.0, 609, 6, 692, 41.25, 9.72
26662057.01,0.0, 610, 5, 692, 41.25, 9.72
26658551.34,0.0, 606, 3, 698, 41.38, 9.77
26658173.66,0.0, 610, 5, 692, 41.3, 9.74
26658173.66,0.0, 609, 6, 692, 41.3, 9.74
26654536.83,0.0, 606, 3, 698, 41.25, 9.72
26651551.39,0.0, 612, 5, 690, 41.39, 9.77
26650552.49,0.0, 606, 3, 698, 41.3, 9.74
26645563.09,0.0, 610, 5, 692, 41.27, 9.73
